,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
176,ALCC,AltC Acquisition Corp.,10.66 USD,+0.09%,16.523K,0.19,459.452M USD,56.43,0.19 USD,+1847.42%,0.00%,Finance,—
177,A,ALCE,1.27 USD,−3.05%,228.036K,—,11.478M USD,8.96,0.14 USD,—,0.00%,Finance,—
178,ALCO,"Alico, Inc.",29.11 USD,−1.95%,22.125K,0.93,221.704M USD,121.44,0.24 USD,−85.57%,0.69%,Process Industries,Strong buy
179,ALCY,Alchemy Investments Acquisition Corp 1,10.46 USD,+0.28%,234,0.01,126.506M USD,81.01,0.13 USD,—,0.00%,Finance,—
180,ALDX,"Aldeyra Therapeutics, Inc.",3.23 USD,−3.29%,655.537K,0.63,189.995M USD,—,−0.78 USD,+30.15%,0.00%,Health Technology,Strong buy
181,ALE,"Allete, Inc.",62.32 USD,−0.43%,296.311K,0.95,3.582B USD,14.46,4.31 USD,+17.28%,4.35%,Utilities,Neutral
182,ALEC,"Alector, Inc.",7.49 USD,−6.14%,374.188K,0.81,630.181M USD,—,−1.70 USD,−2.05%,0.00%,Health Technology,Buy
183,ALG,"Alamo Group, Inc.",200.38 USD,−0.45%,75.621K,1.41,2.407B USD,17.93,11.17 USD,+44.87%,0.44%,Producer Manufacturing,Strong buy
184,ALGM,"Allegro MicroSystems, Inc.",26.81 USD,−1.33%,1.805M,1.45,5.159B USD,20.64,1.30 USD,+109.23%,0.00%,Electronic Technology,Buy
185,ALGN,"Align Technology, Inc.",264.68 USD,+1.27%,846.853K,1.11,20.272B USD,56.14,4.71 USD,−27.07%,0.00%,Health Technology,Buy
186,ALGS,"Aligos Therapeutics, Inc.",0.7100 USD,−3.92%,30.651K,0.05,53.202M USD,—,—,—,0.00%,Health Technology,Buy
187,ALGT,Allegiant Travel Company,78.99 USD,+0.91%,175.795K,0.95,1.454B USD,8.48,9.31 USD,—,1.52%,Transportation,Neutral
188,ALHC,"Alignment Healthcare, Inc.",7.95 USD,−1.73%,546.526K,1.07,1.503B USD,—,−0.86 USD,−9.51%,0.00%,Health Services,Buy
189,ALIM,"Alimera Sciences, Inc.",3.89 USD,−2.63%,117.471K,1.71,203.902M USD,—,−2.63 USD,+0.23%,0.00%,Health Technology,Strong buy
190,ALIT,"Alight, Inc.",8.73 USD,+3.07%,8.609M,2.14,4.827B USD,—,−0.51 USD,−451.65%,0.00%,Technology Services,Strong buy
191,ALK,"Alaska Air Group, Inc.",37.95 USD,+3.10%,2.55M,1.07,4.86B USD,19.02,2.00 USD,+389.72%,0.00%,Transportation,Buy
192,ALKS,Alkermes plc,28.56 USD,−0.24%,1.374M,0.94,4.766B USD,23.14,1.23 USD,—,0.00%,Health Technology,Buy
193,ALKT,"Alkami Technology, Inc.",23.07 USD,+1.14%,277.09K,1.02,2.2B USD,—,−0.59 USD,+20.15%,0.00%,Technology Services,Strong buy
194,ALL,Allstate Corporation (The),149.98 USD,+1.00%,1.551M,1.07,39.248B USD,—,−7.93 USD,−3032.54%,2.37%,Finance,Buy
195,ALLE,Allegion plc,122.78 USD,+0.42%,660.089K,0.64,10.779B USD,19.46,6.31 USD,+28.49%,1.47%,Producer Manufacturing,Buy
196,ALLG,Allego N.V.,1.27 USD,+0.79%,37.517K,0.35,339.316M USD,—,−0.48 USD,—,0.00%,Retail Trade,Strong buy
197,ALLK,Allakos Inc.,2.82 USD,+3.30%,772.926K,0.68,246.683M USD,—,−1.93 USD,+71.51%,0.00%,Health Technology,Buy
198,ALLO,"Allogene Therapeutics, Inc.",2.92 USD,−14.01%,9.757M,3.53,490.526M USD,—,−2.24 USD,−1.57%,0.00%,Health Technology,Buy
199,ALLR,"Allarity Therapeutics, Inc.",0.4982 USD,−0.38%,69.193K,0.31,2.933M USD,—,−526.86 USD,+90.67%,0.00%,Health Technology,Neutral
200,ALLT,Allot Ltd.,1.59 USD,+0.95%,54.826K,0.83,60.827M USD,—,−1.36 USD,−70.67%,0.00%,Electronic Technology,Buy
201,ALLY,Ally Financial Inc.,35.18 USD,+2.66%,5.647M,1.63,10.611B USD,9.62,3.66 USD,—,3.41%,Finance,Neutral
202,ALNT,Allient Inc.,28.17 USD,−0.91%,37.23K,0.96,456.671M USD,19.45,1.45 USD,+50.31%,0.41%,Producer Manufacturing,Strong buy
203,ALNY,"Alnylam Pharmaceuticals, Inc.",189.38 USD,−1.52%,602.756K,1.38,23.766B USD,—,−4.15 USD,+57.54%,0.00%,Health Technology,Buy
204,ALOT,"AstroNova, Inc.",17.06 USD,+1.25%,7.98K,0.88,126.804M USD,38.11,0.45 USD,+526.01%,0.00%,Electronic Technology,—
205,ALPN,"Alpine Immune Sciences, Inc.",17.75 USD,−3.16%,564.71K,0.90,1.03B USD,—,−1.20 USD,+32.57%,0.00%,Health Technology,Strong buy
206,ALPP,"Alpine 4 Holdings, Inc.",0.6590 USD,+2.65%,110.358K,1.00,17.805M USD,—,−0.83 USD,−50.33%,0.00%,Electronic Technology,—
207,ALRM,"Alarm.com Holdings, Inc.",61.19 USD,−0.99%,205.611K,0.86,3.059B USD,47.94,1.28 USD,+41.01%,0.00%,Technology Services,Buy
208,ALRN,"Aileron Therapeutics, Inc.",2.92 USD,−9.32%,48.385K,0.61,14.266M USD,—,−2.85 USD,+56.30%,0.00%,Health Technology,Strong buy
209,ALRS,Alerus Financial Corporation,21.48 USD,−1.01%,79.498K,1.28,424.789M USD,11.69,1.84 USD,—,3.49%,Finance,Neutral
210,ALSA,Alpha Star Acquisition Corporation,11.18 USD,−0.09%,1.41K,0.38,137.162M USD,34.34,0.33 USD,+2568.85%,0.00%,Finance,—
211,ALSN,"Allison Transmission Holdings, Inc.",55.93 USD,+0.47%,536.751K,1.00,5.005B USD,7.94,7.05 USD,+36.38%,1.64%,Producer Manufacturing,Neutral
212,ALT,"Altimmune, Inc.",11.19 USD,−4.28%,10.533M,0.89,601.226M USD,—,−1.54 USD,+19.81%,0.00%,Health Technology,Strong buy
213,ALTG,Alta Equipment Group Inc.,11.73 USD,−0.85%,266.516K,1.11,379.678M USD,54.31,0.22 USD,+9.81%,1.94%,Distribution Services,Strong buy
214,ALTI,"AlTi Global, Inc.",7.55 USD,+4.28%,77.036K,1.27,890.829M USD,—,−2.42 USD,−668.60%,0.00%,Finance,Neutral
215,A,ALTM,7.11 USD,+4.41%,29.47M,—,—,—,—,—,—,Non-Energy Minerals,—
216,ALTO,"Alto Ingredients, Inc.",2.70 USD,−1.46%,651.199K,0.69,205.578M USD,—,−0.59 USD,−267.39%,0.00%,Process Industries,Strong buy
217,ALTR,Altair Engineering Inc.,80.00 USD,+2.38%,563.518K,1.11,6.533B USD,—,−0.22 USD,+70.02%,0.00%,Technology Services,Buy
218,ALTU,Altitude Acquisition Corp.,10.25 USD,0.00%,10.093K,3.56,86.873M USD,—,−0.93 USD,−332.74%,0.00%,Finance,—
219,ALUR,"Allurion Technologies, Inc.",3.43 USD,+1.48%,56.174K,1.55,162.706M USD,—,—,—,0.00%,Health Technology,—
220,ALV,"Autoliv, Inc.",104.04 USD,+0.23%,430.904K,0.96,8.755B USD,21.45,4.85 USD,+11.12%,2.56%,Producer Manufacturing,Buy
221,ALVO,Alvotech,12.26 USD,+1.32%,36.941K,0.78,3.276B USD,—,−2.33 USD,−5521.50%,0.00%,Health Technology,Buy
222,ALVR,"AlloVir, Inc.",0.6516 USD,−2.96%,4.07M,0.70,73.043M USD,—,−1.72 USD,+38.30%,0.00%,Health Technology,Sell
223,ALXO,ALX Oncology Holdings Inc.,12.59 USD,−3.60%,313.087K,0.67,627.219M USD,—,−3.57 USD,−19.63%,0.00%,Commercial Services,Strong buy
224,ALZN,"Alzamend Neuro, Inc.",0.9500 USD,−2.77%,26.133K,0.35,6.765M USD,—,−2.32 USD,−17.10%,0.00%,Health Technology,Strong buy
225,AM,Antero Midstream Corporation,12.45 USD,+0.97%,2.884M,1.87,5.972B USD,16.96,0.73 USD,+9.55%,7.23%,Industrial Services,Neutral
226,AMAL,Amalgamated Financial Corp.,26.10 USD,+1.20%,172.608K,1.16,793.273M USD,8.94,2.92 USD,—,1.53%,Finance,Strong buy
227,A,AMAM,13.63 USD,+2.02%,1.384M,1.72,860.737M USD,—,—,—,0.00%,Health Technology,Strong buy
228,AMAT,"Applied Materials, Inc.",149.00 USD,−0.21%,5.4M,1.20,123.829B USD,18.37,8.11 USD,+9.07%,0.82%,Producer Manufacturing,Buy
229,AMBA,"Ambarella, Inc.",55.07 USD,+1.05%,499.567K,1.02,2.216B USD,—,−3.02 USD,−81.54%,0.00%,Electronic Technology,Buy
230,AMBC,"Ambac Financial Group, Inc.",16.19 USD,+0.50%,255.618K,0.74,731.7M USD,3.80,4.26 USD,−40.42%,0.00%,Finance,Buy
231,A,AMBI,7.93 USD,+2.06%,11.567K,1.68,439.559M USD,—,—,—,0.00%,Industrial Services,—
232,AMBP,Ardagh Metal Packaging S.A.,3.78 USD,+1.89%,1.778M,1.85,2.259B USD,125.58,0.03 USD,−92.48%,10.58%,Process Industries,Neutral
233,AMC,"AMC Entertainment Holdings, Inc.",5.17 USD,−2.45%,16.213M,0.83,1.026B USD,—,−0.36 USD,+95.84%,0.00%,Consumer Services,Sell
234,AMCR,Amcor plc,9.74 USD,+1.04%,13.936M,2.07,14.078B USD,14.87,0.65 USD,+18.68%,5.06%,Process Industries,Neutral
235,AMCX,AMC Networks Inc.,18.77 USD,+1.57%,427.013K,1.34,817.573M USD,—,−0.71 USD,−110.66%,0.00%,Consumer Services,Sell
236,AMD,"Advanced Micro Devices, Inc.",138.58 USD,+1.89%,69.658M,1.28,223.876B USD,1092.90,0.13 USD,−92.40%,0.00%,Electronic Technology,Buy
237,AME,"AMETEK, Inc.",160.74 USD,+0.16%,554.102K,0.86,37.099B USD,29.11,5.52 USD,+12.95%,0.62%,Producer Manufacturing,Buy
238,AMED,Amedisys Inc,94.20 USD,−0.08%,414.662K,2.05,3.074B USD,1290.41,0.07 USD,−98.02%,0.00%,Health Services,Neutral
239,AMEH,"Apollo Medical Holdings, Inc.",36.81 USD,−1.50%,144.834K,0.75,2.145B USD,37.73,0.98 USD,−31.35%,0.00%,Health Services,Buy
240,AMG,"Affiliated Managers Group, Inc.",149.41 USD,+0.87%,372.15K,2.18,5.051B USD,5.05,29.60 USD,+125.97%,0.03%,Finance,Buy
241,AMGN,Amgen Inc.,303.00 USD,−0.06%,1.846M,0.84,162.159B USD,21.55,14.06 USD,+12.72%,2.81%,Health Technology,Buy
242,AMK,"AssetMark Financial Holdings, Inc.",29.37 USD,−0.37%,107.44K,1.14,2.181B USD,19.16,1.53 USD,+25.51%,0.00%,Finance,Strong buy
243,AMKR,"Amkor Technology, Inc.",30.28 USD,+0.07%,746.14K,0.97,7.442B USD,18.39,1.65 USD,−50.49%,1.00%,Electronic Technology,Buy
244,AMLX,"Amylyx Pharmaceuticals, Inc.",16.83 USD,+1.14%,1.434M,1.12,1.136B USD,—,−0.02 USD,+99.27%,0.00%,Health Technology,Strong buy
245,AMN,AMN Healthcare Services Inc,74.14 USD,−0.42%,613.795K,1.42,2.802B USD,10.84,6.84 USD,−34.07%,0.00%,Commercial Services,Buy
246,AMNB,"American National Bankshares, Inc.",48.24 USD,+1.97%,41.868K,1.87,512.742M USD,17.02,2.84 USD,—,2.49%,Finance,Neutral
247,AMP,"Ameriprise Financial, Inc.",382.10 USD,+0.81%,424.255K,1.10,38.667B USD,15.55,24.58 USD,+2.49%,1.39%,Finance,Buy
248,A,AMPE,1.78 USD,−7.77%,823.879K,3.31,1.481M USD,—,−12.05 USD,+63.98%,0.00%,Health Technology,—
249,AMPG,"Amplitech Group, Inc.",1.98 USD,+0.51%,2.409K,0.06,19.18M USD,—,−0.29 USD,−7.75%,0.00%,Electronic Technology,Strong buy
250,AMPH,"Amphastar Pharmaceuticals, Inc.",62.74 USD,−1.12%,613.978K,1.51,3.006B USD,24.49,2.56 USD,+72.16%,0.00%,Health Technology,Buy
251,AMPL,"Amplitude, Inc.",11.77 USD,−0.34%,312.326K,0.81,1.402B USD,—,−0.83 USD,−0.90%,0.00%,Technology Services,Neutral
252,AMPS,"Altus Power, Inc.",6.24 USD,−0.79%,713.664K,0.82,992.097M USD,11.63,0.54 USD,—,0.00%,Utilities,Strong buy
253,AMPX,"Amprius Technologies, Inc.",4.60 USD,−3.56%,722.767K,0.60,406.622M USD,—,−0.39 USD,—,0.00%,Producer Manufacturing,Strong buy
254,AMPY,Amplify Energy Corp.,6.13 USD,+3.37%,754.747K,1.61,239.663M USD,0.66,9.33 USD,+497.47%,0.00%,Energy Minerals,Strong buy
255,AMR,"Alpha Metallurgical Resources, Inc.",367.32 USD,+1.57%,190.278K,0.89,4.879B USD,7.47,49.19 USD,−37.10%,0.53%,Energy Minerals,Buy
256,AMRC,"Ameresco, Inc.",28.69 USD,−1.68%,251.855K,0.79,1.499B USD,32.82,0.87 USD,−55.75%,0.00%,Industrial Services,Buy
257,AMRK,"A-Mark Precious Metals, Inc.",29.15 USD,−0.41%,174.6K,0.81,676.6M USD,5.51,5.29 USD,−15.52%,2.74%,Finance,Strong buy
258,A,AMRX,5.99 USD,+1.53%,1.705M,1.28,2.747B USD,94.63,0.06 USD,—,0.00%,Health Technology,Buy
259,AMS,American Shared Hospital Services,2.54 USD,−0.97%,1.33K,0.08,15.971M USD,36.74,0.07 USD,−66.83%,0.00%,Finance,—
260,AMSC,American Superconductor Corporation,11.43 USD,+0.79%,621.45K,1.17,346.541M USD,—,−0.87 USD,+14.55%,0.00%,Producer Manufacturing,Strong buy
261,AMSF,"AMERISAFE, Inc.",46.67 USD,−0.38%,87.795K,0.95,895.212M USD,14.08,3.32 USD,+67.35%,2.91%,Finance,Neutral
262,AMST,Amesite Inc.,2.56 USD,+8.70%,23.75K,0.69,6.508M USD,—,−1.37 USD,+66.36%,0.00%,Technology Services,—
263,AMSWA,"American Software, Inc.",11.02 USD,+0.36%,213.83K,1.06,376.514M USD,40.80,0.27 USD,−13.79%,3.99%,Technology Services,Strong buy
264,AMTB,Amerant Bancorp Inc.,24.34 USD,+0.41%,143.094K,1.73,817.262M USD,12.02,2.02 USD,—,1.48%,Finance,Buy
265,AMTX,"Aemetis, Inc",4.67 USD,−0.32%,415.393K,0.63,184.297M USD,—,−1.25 USD,+49.96%,0.00%,Process Industries,Buy
266,AMWD,American Woodmark Corporation,88.74 USD,−0.20%,82.649K,0.91,1.422B USD,13.03,6.81 USD,+713.71%,0.00%,Producer Manufacturing,Neutral
267,AMWL,American Well Corporation,1.19 USD,−6.30%,1.81M,0.79,342.207M USD,—,−2.44 USD,−158.29%,0.00%,Technology Services,Neutral
268,AMZN,"Amazon.com, Inc.",145.24 USD,+0.46%,45.153M,1.15,1.501T USD,75.84,1.92 USD,+75.87%,0.00%,Retail Trade,Strong buy
269,AN,"AutoNation, Inc.",140.21 USD,−0.43%,260.179K,0.93,5.962B USD,6.01,23.34 USD,−4.49%,0.00%,Retail Trade,Buy
270,ANAB,"AnaptysBio, Inc.",21.43 USD,−0.97%,144.296K,0.83,569.506M USD,—,−5.41 USD,−12.11%,0.00%,Health Technology,Buy
271,ANDE,"The Andersons, Inc.",54.93 USD,−2.17%,220.004K,1.05,1.854B USD,32.01,1.72 USD,−61.07%,1.36%,Commercial Services,Strong buy
272,ANEB,"Anebulo Pharmaceuticals, Inc.",2.40 USD,+2.13%,2.779K,0.09,61.52M USD,—,−0.45 USD,−34.14%,0.00%,Health Technology,Strong buy
273,ANET,"Arista Networks, Inc.",230.92 USD,+0.16%,1.229M,1.03,71.839B USD,38.43,6.01 USD,+63.70%,0.00%,Electronic Technology,Buy
274,ANF,Abercrombie & Fitch Company,90.54 USD,−2.12%,1.792M,1.29,4.564B USD,22.62,4.00 USD,+850.01%,0.00%,Retail Trade,Buy
275,ANGH,Anghami Inc.,1.06 USD,+3.92%,25.925K,0.28,29.314M USD,—,−0.88 USD,−103.05%,0.00%,Technology Services,—
276,ANGI,Angi Inc.,2.23 USD,−3.46%,397.712K,0.64,1.131B USD,—,−0.18 USD,+12.67%,0.00%,Technology Services,Buy
277,ANGO,"AngioDynamics, Inc.",6.21 USD,−19.87%,2.437M,4.79,247.448M USD,—,−0.35 USD,+57.45%,0.00%,Health Technology,Buy
278,ANIK,Anika Therapeutics Inc.,22.07 USD,−0.59%,113.991K,1.68,323.124M USD,—,−1.68 USD,−54.58%,0.00%,Health Technology,Buy
279,ANIP,"ANI Pharmaceuticals, Inc.",56.77 USD,+1.14%,134.83K,0.86,1.16B USD,94.13,0.60 USD,—,0.00%,Health Technology,Strong buy
280,ANIX,"Anixa Biosciences, Inc.",3.93 USD,0.00%,126.414K,0.84,122.105M USD,—,−0.34 USD,+26.75%,0.00%,Health Technology,Strong buy
281,ANNX,"Annexon, Inc.",4.63 USD,−3.34%,411.813K,0.16,362.705M USD,—,−1.90 USD,+43.55%,0.00%,Health Technology,Strong buy
282,A,ANSC,10.08 USD,−0.10%,213.195K,—,434.7M USD,—,—,—,0.00%,Finance,—
283,ANSS,"ANSYS, Inc.",344.08 USD,−0.02%,2.928M,2.17,29.891B USD,62.19,5.53 USD,+3.57%,0.00%,Technology Services,Neutral
284,ANTX,"AN2 Therapeutics, Inc.",19.12 USD,−1.14%,154.146K,1.74,568.656M USD,—,−2.86 USD,—,0.00%,Health Technology,Strong buy
285,ANVS,"Annovis Bio, Inc.",12.25 USD,−24.89%,1.009M,2.00,125.713M USD,—,−4.27 USD,−23.49%,0.00%,Health Technology,Strong buy
286,ANY,Sphere 3D Corp.,2.62 USD,−8.39%,1.582M,0.33,37.611M USD,—,−13.20 USD,−44.83%,0.00%,Technology Services,Strong buy
287,AOGO,Arogo Capital Acquisition Corp.,10.84 USD,+0.65%,171,0.01,47.153M USD,18.82,0.58 USD,—,0.00%,Finance,—
288,AON,Aon plc,289.59 USD,−0.40%,867.256K,0.62,57.981B USD,22.02,13.15 USD,+2.10%,0.83%,Finance,Neutral
289,A,AONC,6.10 USD,+1.67%,3.556K,0.60,211.424M USD,—,−0.03 USD,−117.20%,0.00%,Health Services,—
290,AORT,"Artivion, Inc.",16.75 USD,−3.18%,154.614K,0.93,687.564M USD,—,−0.60 USD,+42.21%,0.00%,Health Technology,Strong buy
291,AOS,A.O. Smith Corporation,79.04 USD,−0.43%,650.295K,0.99,11.755B USD,40.07,1.97 USD,−37.22%,1.54%,Producer Manufacturing,Neutral
292,AOSL,Alpha and Omega Semiconductor Limited,26.31 USD,−1.35%,202.854K,1.09,731.011M USD,—,−0.31 USD,−101.95%,0.00%,Electronic Technology,Buy
293,AOUT,"American Outdoor Brands, Inc.",8.42 USD,+1.45%,41.816K,1.14,108.927M USD,—,−0.81 USD,+86.12%,0.00%,Consumer Durables,Strong buy
294,AP,Ampco-Pittsburgh Corporation,2.61 USD,−2.61%,64.077K,1.25,51.85M USD,35.46,0.07 USD,—,0.00%,Non-Energy Minerals,—
295,APA,APA Corporation,34.34 USD,+0.85%,9.354M,1.94,10.533B USD,7.04,4.87 USD,−53.43%,2.91%,Energy Minerals,Buy
296,APAC,StoneBridge Acquisition Corporation,11.40 USD,−0.87%,467,0.16,84.611M USD,104.97,0.11 USD,−66.35%,0.00%,Finance,Strong buy
297,APAM,Artisan Partners Asset Management Inc.,42.84 USD,+0.68%,454.491K,1.03,3.426B USD,14.23,3.01 USD,−11.86%,5.39%,Finance,Neutral
298,APCA,AP Acquisition Corp,11.14 USD,0.00%,30.402K,1.73,173.951M USD,63.30,0.18 USD,+4928.57%,0.00%,Finance,—
299,APCX,AppTech Payments Corp.,1.77 USD,+7.27%,15.666K,0.11,36.623M USD,—,−1.15 USD,−5.28%,0.00%,Finance,—
300,APD,"Air Products and Chemicals, Inc.",270.15 USD,−0.04%,777.427K,0.94,60.035B USD,26.24,10.29 USD,+2.10%,2.59%,Process Industries,Buy
301,APDN,"Applied DNA Sciences, Inc.",0.6204 USD,−0.66%,21.298K,0.27,8.492M USD,—,−0.76 USD,+26.74%,0.00%,Health Technology,Strong buy
302,APEI,"American Public Education, Inc.",10.37 USD,+4.43%,145.825K,1.38,184.416M USD,—,−3.94 USD,+24.97%,0.00%,Consumer Services,Buy
303,APG,APi Group Corporation,30.99 USD,+1.27%,2.439M,1.37,7.681B USD,78.69,0.39 USD,—,0.00%,Industrial Services,Buy
304,APGE,"Apogee Therapeutics, Inc.",27.56 USD,−2.44%,117.365K,0.40,1.397B USD,—,—,—,0.00%,Health Technology,Strong buy
305,APH,Amphenol Corporation,94.46 USD,−0.18%,2.009M,0.94,56.516B USD,30.48,3.10 USD,+3.81%,0.90%,Electronic Technology,Buy
306,APLD,Applied Digital Corporation,7.37 USD,+1.24%,2.83M,0.91,783.433M USD,—,−0.54 USD,−169.05%,0.00%,Technology Services,Strong buy
307,APLM,Apollomics Inc.,0.9100 USD,+5.94%,177.714K,0.44,154.576M USD,—,—,—,0.00%,Health Technology,Strong buy
308,APLS,"Apellis Pharmaceuticals, Inc.",59.61 USD,−1.84%,1.763M,1.03,7.064B USD,—,−5.25 USD,+15.83%,0.00%,Health Technology,Buy
309,APLT,"Applied Therapeutics, Inc.",2.25 USD,−40.63%,6.81M,4.45,173.766M USD,—,−1.32 USD,+59.67%,0.00%,Health Technology,Buy
310,APM,Aptorum Group Limited,2.23 USD,−9.50%,3.101K,0.34,11.555M USD,—,−3.64 USD,−259.72%,0.00%,Health Technology,—
311,APO,"Apollo Global Management, Inc. (New)",94.93 USD,+0.14%,2.416M,1.18,53.878B USD,19.98,4.75 USD,—,1.78%,Finance,Buy
312,APOG,"Apogee Enterprises, Inc.",52.00 USD,−0.34%,108.719K,0.68,1.148B USD,11.06,4.70 USD,+52.75%,1.85%,Producer Manufacturing,Buy
313,APP,Applovin Corporation,38.11 USD,−0.03%,1.956M,0.96,12.797B USD,129.45,0.29 USD,—,0.00%,Technology Services,Buy
314,APPF,"AppFolio, Inc.",164.35 USD,−0.87%,139.71K,0.78,5.977B USD,—,−1.36 USD,+4.83%,0.00%,Technology Services,Strong buy
315,APPN,Appian Corporation,33.38 USD,−1.79%,467.2K,1.05,2.444B USD,—,−1.86 USD,+5.51%,0.00%,Technology Services,Buy
316,APPS,"Digital Turbine, Inc.",6.28 USD,−1.57%,1.043M,0.65,636.212M USD,—,−1.79 USD,−444.21%,0.00%,Technology Services,Buy
317,APRE,"Aprea Therapeutics, Inc.",5.03 USD,−0.20%,3.901K,0.20,18.795M USD,—,−21.47 USD,+79.25%,0.00%,Health Technology,Strong buy
318,APT,"Alpha Pro Tech, Ltd.",5.21 USD,−1.51%,47.235K,0.74,60.681M USD,16.94,0.31 USD,+21.02%,0.00%,Process Industries,—
319,APTM,Alpha Partners Technology Merger Corp.,10.73 USD,0.00%,31.336K,0.32,242.98M USD,35.59,0.30 USD,+73.68%,0.00%,Finance,—
320,APTV,Aptiv PLC,83.48 USD,−0.13%,2.199M,1.17,23.613B USD,10.44,7.99 USD,+592.40%,0.00%,Producer Manufacturing,Buy
321,APVO,Aptevo Therapeutics Inc.,0.1770 USD,+0.17%,381.175K,0.94,3.335M USD,—,−2.05 USD,−266.21%,0.00%,Health Technology,Strong buy
322,APWC,Asia Pacific Wire & Cable Corporation Limited,1.38 USD,+0.72%,19.463K,1.78,28.45M USD,—,—,—,0.00%,Electronic Technology,—
323,APXI,APx Acquisition Corp. I,11.18 USD,−0.18%,322,0.00,159.009M USD,84.25,0.13 USD,−76.17%,0.00%,Finance,—
324,APYX,Apyx Medical Corporation,2.60 USD,0.00%,143.437K,1.40,90.074M USD,—,−0.44 USD,+21.11%,0.00%,Health Technology,Buy
325,A,AQB,2.36 USD,−3.28%,36.936K,0.45,9.078M USD,—,−6.95 USD,−11.42%,0.00%,Health Technology,Neutral
326,AQMS,"Aqua Metals, Inc.",0.6511 USD,−5.71%,1.521M,3.82,70.196M USD,—,−0.21 USD,+5.44%,0.00%,Non-Energy Minerals,Strong buy
327,AQST,"Aquestive Therapeutics, Inc.",2.34 USD,+3.54%,814.705K,1.66,156.235M USD,—,−0.25 USD,+84.64%,0.00%,Health Technology,Strong buy
328,AQU,Aquaron Acquisition Corp.,10.75 USD,−0.19%,5.709K,0.45,48.946M USD,73.73,0.15 USD,—,0.00%,Finance,—
329,AR,Antero Resources Corporation,23.25 USD,+3.84%,9.298M,2.12,6.988B USD,8.38,2.78 USD,−54.94%,0.00%,Energy Minerals,Buy
330,ARAV,"Aravive, Inc.",0.1210 USD,+0.75%,734.702K,0.88,8.901M USD,—,−0.96 USD,+59.22%,0.00%,Health Technology,Neutral
331,ARAY,Accuray Incorporated,2.77 USD,+1.09%,396.058K,1.10,268.89M USD,—,−0.07 USD,+32.09%,0.00%,Health Technology,Strong buy
332,ARBB,ARB IOT Group Limited,1.46 USD,−13.61%,65.759K,0.01,38.325M USD,—,—,—,0.00%,Technology Services,Strong buy
333,ARBE,Arbe Robotics Ltd.,2.08 USD,−2.80%,150.991K,2.47,161.035M USD,—,−0.68 USD,+42.67%,0.00%,Producer Manufacturing,Strong buy
334,ARC,"ARC Document Solutions, Inc.",3.07 USD,−1.60%,105.4K,0.92,131.893M USD,11.87,0.26 USD,−3.22%,6.51%,Commercial Services,Strong buy
335,ARCB,ArcBest Corporation,115.56 USD,−0.83%,184.076K,0.72,2.734B USD,25.18,4.59 USD,−63.76%,0.42%,Transportation,Buy
336,ARCC,Ares Capital Corporation,20.41 USD,−0.34%,4.072M,1.03,11.622B USD,8.93,2.28 USD,+36.80%,9.41%,Finance,Strong buy
337,ARCH,"Arch Resources, Inc.",175.36 USD,+0.72%,225.479K,0.93,3.221B USD,4.26,41.16 USD,−22.03%,0.57%,Energy Minerals,Strong buy
338,ARCO,Arcos Dorados Holdings Inc.,12.05 USD,+1.18%,615.501K,0.64,2.538B USD,14.10,0.85 USD,+36.92%,1.58%,Consumer Services,Strong buy
339,ARCT,Arcturus Therapeutics Holdings Inc.,31.23 USD,−0.19%,153.201K,0.45,834.57M USD,8.64,3.61 USD,—,0.00%,Health Technology,Strong buy
340,ARDX,"Ardelyx, Inc.",6.16 USD,+1.32%,3.506M,0.63,1.43B USD,—,−0.12 USD,+85.37%,0.00%,Health Technology,Strong buy
341,AREB,"American Rebel Holdings, Inc.",0.2401 USD,−15.38%,557.301K,1.21,1.205M USD,—,−3.29 USD,+94.23%,0.00%,Consumer Non-Durables,Strong buy
342,AREC,American Resources Corporation,1.61 USD,−2.42%,301.23K,1.10,126.012M USD,12.96,0.12 USD,—,0.00%,Energy Minerals,Strong buy
343,AREN,"The Arena Group Holdings, Inc.",2.15 USD,−16.99%,428.824K,1.18,51.245M USD,—,−3.14 USD,+35.87%,0.00%,Technology Services,Strong buy
344,ARES,Ares Management Corporation,117.05 USD,+0.49%,602.166K,0.96,21.723B USD,54.59,2.14 USD,+142.60%,2.63%,Finance,Buy
345,ARHS,"Arhaus, Inc.",11.35 USD,+2.71%,898.89K,0.91,1.592B USD,11.26,1.01 USD,+43.26%,0.00%,Consumer Durables,Strong buy
346,ARIS,"Aris Water Solutions, Inc.",8.33 USD,+0.85%,285.522K,0.94,480.578M USD,17.32,0.48 USD,+2712.28%,4.32%,Utilities,Strong buy
347,ARIZ,Arisz Acquisition Corp.,10.89 USD,−0.09%,100.071K,3.20,56.146M USD,64.63,0.17 USD,—,0.00%,Finance,—
348,ARKO,ARKO Corp.,8.31 USD,+0.12%,307.392K,1.23,970.685M USD,24.91,0.33 USD,−34.65%,1.44%,Retail Trade,Buy
349,ARKR,Ark Restaurants Corp.,13.85 USD,+0.36%,2.807K,1.70,49.918M USD,—,−1.66 USD,−164.43%,4.96%,Consumer Services,—
